PermitType,PermitNum,Description,StatusCurrent,AppliedDate,CompletedDate,Applicant,FromLUD,ProposedLUD,Address,LocationAddresses,LocationCount,Latitude,Longitude,multipoint
LU / OP / Closure (LOC),LOC1989-0106,Converted Job - Land Use Amendment,Approved,1989/09/20,1990/04/16,,,,1204 EDMONTON TR NE,1204 EDMONTON TR NE,1,51.06260445375902,-114.05561019627065,MULTIPOINT ((-114.055610196271 51.062604453759))
LU / OP / Closure (LOC),LOC1989-0107,Converted Job - Land Use Amendment,Cancelled,1989/10/02,1990/11/12,,,,1639 7A ST NW,1639 7A ST NW,1,51.06680978617154,-114.08011761733586,MULTIPOINT ((-114.080117617336 51.066809786172))
LU / OP / Closure (LOC),LOC1989-0108,Converted Job - Land Use Amendment,Cancelled,1989/10/10,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0109,Converted Job - Land Use Amendment,Refused,1989/10/16,1990/01/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0110,Converted Job - Land Use Amendment,Approved,1989/10/17,1990/02/12,,,,755 LAKE BONAVISTA DR SE,755 LAKE BONAVISTA DR SE,1,50.94331987122219,-114.04760930227118,MULTIPOINT ((-114.047609302271 50.943319871222))
LU / OP / Closure (LOC),LOC1989-0111,Converted Job - Land Use Amendment,Approved,1989/10/18,1990/03/12,,,,1825 RICHMOND RD SW,1825 RICHMOND RD SW,1,51.03629449261649,-114.11140576996293,MULTIPOINT ((-114.111405769963 51.036294492616))
LU / OP / Closure (LOC),LOC1989-0112,Converted Job - Land Use Amendment,Approved,1989/10/27,1990/02/12,,,,1055 CANYON MEADOWS DR SW,1055 CANYON MEADOWS DR SW,1,50.938970115732836,-114.08364436050016,MULTIPOINT ((-114.0836443605 50.938970115733))
LU / OP / Closure (LOC),LOC1989-0113,Converted Job - Land Use Amendment,Approved,1989/11/07,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0114,Converted Job - Land Use Amendment,Refused,1989/11/10,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0115,Converted Job - Land Use Amendment,Approved,1989/11/13,1991/09/09,,,,1105 1 AV NE,1105 1 AV NE,1,51.05312647689989,-114.03721666702808,MULTIPOINT ((-114.037216667028 51.0531264769))
LU / OP / Closure (LOC),LOC1989-0116,Converted Job - Land Use Amendment,Approved,1989/11/14,1990/03/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0117,Converted Job - Land Use Amendment,Approved,1989/11/14,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2137,Converted Job - Outline Plan,Approved,1989/06/06,1990/08/01,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0119,Converted Job - Land Use Amendment,Approved,1989/11/16,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0120,Converted Job - Land Use Amendment,Approved,1989/11/21,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0121,Converted Job - Land Use Amendment,Approved,1989/11/21,1990/04/09,,,,8940 34 AV NW,8940 34 AV NW,1,51.095403315448856,-114.21919846787024,MULTIPOINT ((-114.21919846787 51.095403315449))
LU / OP / Closure (LOC),LOC1989-0122,Converted Job - Land Use Amendment,Approved,1989/11/22,1990/06/25,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0123,Converted Job - Land Use Amendment,Cancelled,1989/11/23,1999/01/01,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0126,Converted Job - Land Use Amendment,Approved,1989/11/30,1990/03/12,,,,521 16 AV NE,521 16 AV NE,1,51.06674281144332,-114.05195228771929,MULTIPOINT ((-114.051952287719 51.066742811443))
LU / OP / Closure (LOC),LOC1989-0127,Converted Job - Land Use Amendment,Approved,1989/12/04,1990/07/03,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0128,Converted Job - Land Use Amendment,Approved,1989/12/05,1990/06/25,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0129,Converted Job - Land Use Amendment,Cancelled,1989/12/07,1991/07/16,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0131,Converted Job - Land Use Amendment,Approved,1989/12/13,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0132,Converted Job - Land Use Amendment,Approved,1989/12/14,1990/09/04,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0133,Converted Job - Land Use Amendment,Cancelled,1989/12/18,1990/09/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2329,Converted Job - Outline Plan,Approved,1989/12/29,1990/03/14,,,,5962 SIGNAL RIDGE HT SW,,,,,
LU / OP / Closure (LOC),LOC1989-0134,Converted Job - Land Use Amendment,Approved,1989/12/19,1990/04/09,,,,3220 4 ST NW,3220 4 ST NW,1,51.080975197496784,-114.0713214001133,MULTIPOINT ((-114.071321400113 51.080975197497))
LU / OP / Closure (LOC),LOC1989-0135,Converted Job - Land Use Amendment,Cancelled,1989/12/20,1990/02/22,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0136,Converted Job - Land Use Amendment,Approved,1989/12/20,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0137,Converted Job - Land Use Amendment,Approved,1989/12/21,1991/01/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0138,Converted Job - Land Use Amendment,Approved,1989/12/21,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0140,Converted Job - Land Use Amendment,Approved,1989/12/29,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0141,Converted Job - Land Use Amendment,Approved,1989/12/29,1990/07/16,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0142,Converted Job - Land Use Amendment,Approved,1989/12/29,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0143,Converted Job - Land Use Amendment,Approved,1989/12/29,1990/12/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-0144,Converted Job - Land Use Amendment,Approved,1989/12/29,1990/04/09,,,,1515 19 ST NW,1515 19 ST NW,1,51.06601055586007,-114.10650570464631,MULTIPOINT ((-114.106505704646 51.06601055586))
LU / OP / Closure (LOC),LOC1989-2002,Converted Job - Outline Plan,Approved,1989/01/09,1989/03/22,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2004,Converted Job - Outline Plan,Approved,1989/01/10,1989/07/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2016,Converted Job - Outline Plan,Approved,1989/01/27,1989/05/31,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2034,Converted Job - Outline Plan,Under Review,1989/03/07,,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2047,Converted Job - Outline Plan,Approved,1989/03/15,1990/10/24,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2048,Converted Job - Outline Plan,Approved,1989/03/16,1989/05/31,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2049,Converted Job - Outline Plan,Approved,1989/03/16,1989/07/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2060,Converted Job - Outline Plan,Under Review,1989/03/20,,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2068,Converted Job - Outline Plan,Approved,1989/03/27,1989/06/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2072,Converted Job - Outline Plan,Approved,1989/04/03,1989/06/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2080,Converted Job - Outline Plan,Approved,1989/04/11,1989/05/31,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2089,Converted Job - Outline Plan,Approved,1989/04/18,1989/09/06,,,,1410 82 AV SE,,,,,
LU / OP / Closure (LOC),LOC1989-2092,Converted Job - Outline Plan,Approved,1989/04/20,1989/06/28,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2100,Converted Job - Outline Plan,Approved,1989/05/03,1990/03/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2118,Converted Job - Outline Plan,Approved,1989/05/26,1990/03/14,,,,97 SUNMEADOWS CR SE,,,,,
LU / OP / Closure (LOC),LOC1989-2138,Converted Job - Outline Plan,Approved,1989/06/07,1989/08/23,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2149,Converted Job - Outline Plan,Approved,1989/06/19,1990/01/31,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2152,Converted Job - Outline Plan,Approved,1989/06/20,1989/10/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2153,Converted Job - Outline Plan,Approved,1989/06/22,1989/08/23,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2157,Converted Job - Outline Plan,Under Review,1989/06/28,,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2161,Converted Job - Outline Plan,Approved,1989/07/17,1989/12/13,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2173,Converted Job - Outline Plan,Approved,1989/07/18,1990/01/31,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2184,Converted Job - Outline Plan,Under Review,1989/07/28,,,,,19 PUMP HILL CL SW,,,,,
LU / OP / Closure (LOC),LOC1989-2186,Converted Job - Outline Plan,Approved,1989/07/28,1990/01/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2187,Converted Job - Outline Plan,Approved,1989/07/28,1989/10/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2221,Converted Job - Outline Plan,Approved,1989/09/11,1990/04/11,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2224,Converted Job - Outline Plan,Approved,1989/09/11,1990/01/31,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2227,Converted Job - Outline Plan,Approved,1989/09/11,1989/12/13,,,,10820 6 ST NE,,,,,
LU / OP / Closure (LOC),LOC1989-2231,Converted Job - Outline Plan,Approved,1989/09/18,1990/01/31,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2239,Converted Job - Outline Plan,Approved,1989/10/01,1990/07/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2275,Converted Job - Outline Plan,Approved,1989/11/16,1990/03/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2291,Converted Job - Outline Plan,Approved,1989/12/05,1990/06/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2311,Converted Job - Outline Plan,Approved,1989/12/08,1990/04/11,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2319,Converted Job - Outline Plan,Under Review,1989/12/18,,,,,7137 16 AV SW,,,,,
LU / OP / Closure (LOC),LOC1989-2323,Converted Job - Outline Plan,Approved,1989/12/20,1990/05/23,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2325,Converted Job - Outline Plan,Approved,1989/12/21,1990/03/28,,,,10021 37 ST NW,,,,,
LU / OP / Closure (LOC),LOC1989-2328,Converted Job - Outline Plan,Approved,1989/12/29,1990/04/11,,,,9260 73 ST NW,,,,,
LU / OP / Closure (LOC),LOC1989-2331,Converted Job - Outline Plan,Approved,1989/12/29,1990/10/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-2332,Converted Job - Outline Plan,Approved,1989/12/29,1990/03/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5001,Converted Job - Road Closure,Approved,1989/01/02,2006/02/03,CITY OF CALGARY Corporate Properties,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5002,Converted Job - Road Closure,Approved,1989/01/02,1989/09/25,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5003,Converted Job - Road Closure,Approved,1989/01/02,1989/06/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5004,Converted Job - Road Closure,Approved,1989/01/25,1989/04/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5005,Converted Job - Road Closure,Approved,1989/02/08,1989/07/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5006,Converted Job - Road Closure,Approved,1989/03/03,1989/06/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5007,Converted Job - Road Closure,Approved,1989/03/27,1989/07/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5008,Converted Job - Road Closure,Approved,1989/03/27,1989/07/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5009,Converted Job - Road Closure,Approved,1989/03/27,1990/01/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5010,Converted Job - Road Closure,Approved,1989/04/03,1989/07/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5011,Converted Job - Road Closure,Cancelled,1989/04/17,1999/01/01,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5012,Converted Job - Road Closure,Approved,1989/04/20,1989/09/11,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5013,Converted Job - Road Closure,Approved,1989/05/12,1989/09/11,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5014,"Converted Job - Road ClosureCANCELLED DUE TO INACTIVITY WILL REACTIVATE IF REQUIRED FEB,2006",Approved,1989/05/17,2006/02/03,GENERIC CONTRACTOR BUSINESS - ID,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5015,Converted Job - Road Closure,Cancelled,1989/08/16,1989/10/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5016,Converted Job - Road Closure,Approved,1989/08/30,1990/01/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5017,Converted Job - Road Closure,Approved,1989/09/07,1990/02/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5018,Converted Job - Road Closure,Approved,1989/10/19,1990/02/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5019,Converted Job - Road Closure,Approved,1989/10/19,1990/02/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5020,Converted Job - Road Closure,Approved,1989/10/19,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5021,Converted Job - Road Closure,Approved,1989/11/03,1990/03/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5022,Converted Job - Road Closure,Approved,1989/11/30,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5023,Converted Job - Road Closure,Approved,1989/11/20,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5024,Converted Job - Road Closure,Approved,1989/11/29,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5025,Converted Job - Road Closure,Approved,1989/12/05,1990/12/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5026,Converted Job - Road Closure,Approved,1989/12/13,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5027,Converted Job - Road Closure,Refused,1989/12/14,1992/07/20,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5028,Converted Job - Road Closure,Approved,1989/12/18,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1989-5029,Converted Job - Road Closure,Approved,1989/12/29,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0001,Converted Job - Land Use Amendment,Approved,1990/01/04,1990/12/10,,,,115 17 AV SW,115 17 AV SW,1,51.037666813598264,-114.0652062839674,MULTIPOINT ((-114.065206283967 51.037666813598))
LU / OP / Closure (LOC),LOC1990-0003,Converted Job - Land Use Amendment,Approved,1990/01/12,1990/04/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0004,Converted Job - Land Use Amendment,Approved,1990/01/15,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0005,Converted Job - Land Use Amendment,Approved,1990/01/15,1990/12/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0006,Converted Job - Land Use Amendment,Approved,1990/01/16,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0007,Converted Job - Land Use Amendment,Approved,1990/01/18,1990/05/14,,,,12 DEERVIEW TC SE,12 DEERVIEW TC SE,1,50.93090296215661,-114.02372485016944,MULTIPOINT ((-114.023724850169 50.930902962157))
LU / OP / Closure (LOC),LOC1990-0008,Converted Job - Land Use Amendment,Approved,1990/01/23,1990/07/16,,,,15215 BANNISTER RD SE,15215 BANNISTER RD SE,1,50.9164971073877,-114.06748554630092,MULTIPOINT ((-114.067485546301 50.916497107388))
LU / OP / Closure (LOC),LOC1990-0009,Converted Job - Land Use Amendment,Approved,1990/01/23,1990/06/18,,,,12 DEERVIEW TC SE,12 DEERVIEW TC SE,1,50.93090296215661,-114.02372485016944,MULTIPOINT ((-114.023724850169 50.930902962157))
LU / OP / Closure (LOC),LOC1990-0010,Converted Job - Land Use Amendment,Cancelled,1990/01/23,1990/11/19,,,,620 46 AV NE,620 46 AV NE,1,51.094627476610746,-114.05012897900477,MULTIPOINT ((-114.050128979005 51.094627476611))
LU / OP / Closure (LOC),LOC1990-0011,Converted Job - Land Use Amendment,Approved,1990/01/26,1991/10/07,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0012,Converted Job - Land Use Amendment,Approved,1990/01/29,1991/04/15,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0013,Converted Job - Land Use Amendment,Approved,1990/01/30,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0014,Converted Job - Land Use Amendment,Approved,1990/01/30,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0016,Converted Job - Land Use Amendment,Approved,1990/01/31,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0017,Converted Job - Land Use Amendment,Approved,1990/02/02,1990/10/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0018,Converted Job - Land Use Amendment,Approved,1990/02/01,1990/07/23,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0019,Converted Job - Land Use Amendment,Refused,1990/02/05,1990/07/16,,,,8330 SILVER SPRINGS RD NW,8330 SILVER SPRINGS RD NW,1,51.10922382171327,-114.20587146901576,MULTIPOINT ((-114.205871469016 51.109223821713))
LU / OP / Closure (LOC),LOC1990-0021,Converted Job - Land Use Amendment,Cancelled,1990/02/08,1990/06/11,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0022,Converted Job - Land Use Amendment,Approved,1990/02/12,1990/05/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0023,Converted Job - Land Use Amendment,Cancelled,1990/02/12,1996/12/03,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0024,Converted Job - Land Use Amendment,Approved,1990/02/12,1991/02/11,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0025,Converted Job - Land Use Amendment,Approved,1990/02/12,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0026,Converted Job - Land Use Amendment,Approved,1990/02/13,1990/06/18,,,,224 13 AV SW,224 13 AV SW,1,51.040706749823414,-114.06728271175912,MULTIPOINT ((-114.067282711759 51.040706749823))
LU / OP / Closure (LOC),LOC1990-0027,Converted Job - Land Use Amendment,Cancelled,1990/02/16,1995/08/04,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0028,Converted Job - Land Use Amendment,Approved,1990/02/15,1990/07/16,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0031,Converted Job - Land Use Amendment,Approved,1990/02/23,1990/06/18,,,,5029 26 AV SW,5029 26 AV SW,1,51.03038715021331,-114.15906279551939,MULTIPOINT ((-114.159062795519 51.030387150213))
LU / OP / Closure (LOC),LOC1990-0032,Converted Job - Land Use Amendment,Approved,1990/02/26,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-2040,Converted Job - Outline Plan,Approved,1990/02/01,1990/06/06,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0033,Converted Job - Land Use Amendment,Approved,1990/03/01,1990/06/18,,,,5540 2 ST SW,5540 2 ST SW,1,51.00421940610861,-114.06841767771354,MULTIPOINT ((-114.068417677714 51.004219406109))
LU / OP / Closure (LOC),LOC1990-0034,Converted Job - Land Use Amendment,Approved,1990/03/01,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0036,Converted Job - Land Use Amendment,Cancelled,1990/03/05,1993/07/06,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0037,Converted Job - Land Use Amendment,Cancelled,1990/03/06,1990/03/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0038,Converted Job - Land Use Amendment,Cancelled,1990/03/08,1990/12/05,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0040,Converted Job - Land Use Amendment,Approved,1990/03/12,1990/09/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0041,Converted Job - Land Use Amendment,Cancelled,1990/03/12,1990/09/26,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0042,Converted Job - Land Use Amendment,Approved,1990/03/19,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0043,Converted Job - Land Use Amendment,Approved,1990/03/26,1990/05/14,,,,4201 52 ST SE,4201 52 ST SE,1,51.01778309429917,-113.9589437703276,MULTIPOINT ((-113.958943770328 51.017783094299))
LU / OP / Closure (LOC),LOC1990-0044,Converted Job - Land Use Amendment,Approved,1990/03/22,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0046,Converted Job - Land Use Amendment,Cancelled,1990/03/26,1990/12/05,,,,300 MANNING RD NE,300 MANNING RD NE,1,51.054072745908464,-114.01744638028757,MULTIPOINT ((-114.017446380288 51.054072745908))
LU / OP / Closure (LOC),LOC1990-0047,Converted Job - Land Use Amendment,Approved,1990/03/27,1990/09/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0048,Converted Job - Land Use Amendment,Cancelled,1990/03/28,1993/05/28,,,,5812 14 AV SW,5812 14 AV SW,1,51.03996905876332,-114.17063207497092,MULTIPOINT ((-114.170632074971 51.039969058763))
LU / OP / Closure (LOC),LOC1990-0049,Converted Job - Land Use Amendment,Approved,1990/03/29,1990/07/16,,,,7320 40 ST NE,7320 40 ST NE,1,51.11869415929499,-113.9760856302264,MULTIPOINT ((-113.976085630226 51.118694159295))
LU / OP / Closure (LOC),LOC1990-0050,Converted Job - Land Use Amendment,Approved,1990/04/03,1990/07/16,,,,303 CANTERBURY DR SW,303 CANTERBURY DR SW,1,50.9477615161491,-114.08387505248169,MULTIPOINT ((-114.083875052482 50.947761516149))
LU / OP / Closure (LOC),LOC1990-0051,Converted Job - Land Use Amendment,Approved,1990/04/03,1990/10/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0052,Converted Job - Land Use Amendment,Approved,1990/04/03,1990/06/18,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0054,Converted Job - Land Use Amendment,Approved,1990/04/06,1991/10/07,,,,364 SIGNATURE CO SW,364 SIGNATURE CO SW,1,51.03565178728628,-114.17557661177138,MULTIPOINT ((-114.175576611771 51.035651787286))
LU / OP / Closure (LOC),LOC1990-0055,Converted Job - Land Use Amendment,Approved,1990/04/10,1990/07/16,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0056,Converted Job - Land Use Amendment,Cancelled,1990/04/27,1990/11/14,,,,4507 45 ST SW,4507 45 ST SW,1,51.014000883255385,-114.15296434988163,MULTIPOINT ((-114.152964349882 51.014000883255))
LU / OP / Closure (LOC),LOC1990-0057,Converted Job - Land Use Amendment,Approved,1990/04/16,1990/07/16,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0058,Converted Job - Land Use Amendment,Approved,1990/04/16,1990/07/16,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0060,Converted Job - Land Use Amendment,Cancelled,1990/04/19,1994/01/19,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0061,Converted Job - Land Use Amendment,Approved,1990/04/23,1990/09/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0062,Converted Job - Land Use Amendment,Approved,1990/04/24,1990/07/16,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0064,Converted Job - Land Use Amendment,Approved,1990/04/27,1991/09/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0065,Converted Job - Land Use Amendment,Approved,1990/04/27,1990/07/16,,,,3514 26A ST SE,3514 26A ST SE,1,51.022772658615764,-113.99554962233007,MULTIPOINT ((-113.99554962233 51.022772658616))
LU / OP / Closure (LOC),LOC1990-0066,Converted Job - Land Use Amendment,Approved,1990/05/01,1990/09/10,,,,87 MARTINVIEW CR NE,87 MARTINVIEW CR NE,1,51.111886572489716,-113.95980126617638,MULTIPOINT ((-113.959801266176 51.11188657249))
LU / OP / Closure (LOC),LOC1990-0067,Converted Job - Land Use Amendment,Approved,1990/05/02,1990/11/12,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0068,Converted Job - Land Use Amendment,Approved,1990/05/04,1990/09/17,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0069,Converted Job - Land Use Amendment,Approved,1990/05/08,1990/09/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-5013,Converted Job - Road Closure,Cancelled,1990/03/20,1992/05/01,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0070,Converted Job - Land Use Amendment,Approved,1990/05/11,1990/09/10,,,,140 SIERRA MORENA CI SW,140 SIERRA MORENA CI SW,1,51.01650505938201,-114.18166340449193,MULTIPOINT ((-114.181663404492 51.016505059382))
LU / OP / Closure (LOC),LOC1990-0071,Converted Job - Land Use Amendment,Approved,1990/05/17,1991/05/13,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0073,Converted Job - Land Use Amendment,Approved,1990/05/17,1990/12/10,,,,290 MIDPARK WY SE,290 MIDPARK WY SE,1,50.90955213165991,-114.0633397110499,MULTIPOINT ((-114.06333971105 50.90955213166))
LU / OP / Closure (LOC),LOC1990-0074,Converted Job - Land Use Amendment,Cancelled,1990/05/18,1990/11/20,,,,8200 24 ST SE,8200 24 ST SE,1,50.97922889099379,-113.9985783371226,MULTIPOINT ((-113.998578337123 50.979228890994))
LU / OP / Closure (LOC),LOC1990-0075,Converted Job - Land Use Amendment,Approved,1990/05/28,1990/09/10,,,,12916 ELBOW DR SW,12916 ELBOW DR SW,1,50.938248762933966,-114.08474625134303,MULTIPOINT ((-114.084746251343 50.938248762934))
LU / OP / Closure (LOC),LOC1990-0076,Converted Job - Land Use Amendment,Approved,1990/05/30,1990/10/09,,,,2Q 14 ST NW,2Q 14 ST NW,1,51.05091120515921,-114.09443748830009,MULTIPOINT ((-114.0944374883 51.050911205159))
LU / OP / Closure (LOC),LOC1990-0078,Converted Job - Land Use Amendment,Refused,1990/06/06,1990/10/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0081,Converted Job - Land Use Amendment,Approved,1990/06/05,1991/01/14,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0082,Converted Job - Land Use Amendment,Approved,1990/06/11,1990/09/10,,,,940 11 AV SW,940 11 AV SW,1,51.043062085514045,-114.08344547376893,MULTIPOINT ((-114.083445473769 51.043062085514))
LU / OP / Closure (LOC),LOC1990-0083,Converted Job - Land Use Amendment,Approved,1990/06/12,1991/03/11,,,,1502 11 ST SW,1502 11 ST SW,1,51.03912997354968,-114.08894217890813,MULTIPOINT ((-114.088942178908 51.03912997355))
LU / OP / Closure (LOC),LOC1990-0084,Converted Job - Land Use Amendment,Cancelled,1990/06/20,1991/07/15,,,,2305 22 ST NE,2305 22 ST NE,1,51.07229971412419,-114.00676144761265,MULTIPOINT ((-114.006761447613 51.072299714124))
LU / OP / Closure (LOC),LOC1990-0085,Converted Job - Land Use Amendment,Approved,1990/06/18,1990/10/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0086,Converted Job - Land Use Amendment,Approved,1990/06/18,1990/12/10,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0087,Converted Job - Land Use Amendment,Approved,1990/06/22,1990/10/09,,,,,,,,,
LU / OP / Closure (LOC),LOC1990-0088,Converted Job - Land Use Amendment,Approved,1990/06/25,1991/05/13,,,,,,,,,
